Saved Date,Job Url,Job Title,Company Name
"10/11/23, 5:37 AM",http://www.linkedin.com/jobs/view/3735641308,Data Analyst,V5 Global Services Private Limited.
"9/17/23, 5:49 AM",http://www.linkedin.com/jobs/view/3718144212,Data Analyst,Blu Ocean Innovations pvt ltd
"9/25/23, 7:15 AM",http://www.linkedin.com/jobs/view/3700672926,Data Analyst,Jade Global
"9/14/23, 5:39 AM",http://www.linkedin.com/jobs/view/3720072569,PowerBI,KPMG India
"9/25/23, 7:24 AM",http://www.linkedin.com/jobs/view/3722463130,Data Analyst / Business Analyst (Any Graduate),SAZ India
"7/26/23, 10:05 PM",http://www.linkedin.com/jobs/view/3673364205,Data Analyst Internship,KultureHire
"9/9/23, 1:14 AM",http://www.linkedin.com/jobs/view/3712059931,Data Management Analyst,Shakti Medica 
"10/12/23, 5:45 AM",http://www.linkedin.com/jobs/view/3737564764,Data Analytics work from home job/internship at My Mom's Love,My Mom's Love
"9/25/23, 7:15 AM",http://www.linkedin.com/jobs/view/3681888032,Data Analyst,Phenom
"9/1/23, 5:49 AM",http://www.linkedin.com/jobs/view/3710026775,Data Engineer Intern,Irdeto
"10/14/23, 3:23 AM",http://www.linkedin.com/jobs/view/3738526730,Data Analyst (Remote),Tower Production
"8/2/23, 10:48 PM",http://www.linkedin.com/jobs/view/3677650107,Data Analyst Learnternship,KultureHire
"9/25/23, 7:29 AM",http://www.linkedin.com/jobs/view/3727839553,Data Analyst,Talent Fanatics HR Consultancy
"9/26/23, 10:53 PM",http://www.linkedin.com/jobs/view/3714644414,Mainframe Z/OS Admin,Atos
"10/11/23, 5:35 AM",http://www.linkedin.com/jobs/view/3731582860,Excel Data Analyst,INSIDEA
"9/17/23, 5:48 AM",http://www.linkedin.com/jobs/view/3715243129,Data Analyst & Business Analyst (Entry Level),Idealmet Technologies
"10/12/23, 5:48 AM",http://www.linkedin.com/jobs/view/3736348909,Data Analyst,Recruin 
"9/30/23, 7:00 AM",http://www.linkedin.com/jobs/view/3728887063,Student Intern Technical,Intel Corporation
"9/8/23, 5:59 AM",http://www.linkedin.com/jobs/view/3713985199,Data Analyst,Peroptyx
