Date,Type,Link
2023-09-24 04:07:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111373545477160960
2023-09-23 08:12:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111009878587949056
2023-09-23 08:09:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111231247976153088
2023-09-23 08:08:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111008976175042561
2023-09-22 04:30:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110829756769574912
2023-09-22 04:29:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110647923134091266
2023-09-22 04:29:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110626119871033344
2023-09-21 11:53:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7110588771795910656
2023-09-21 11:29:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110584734937714688
2023-09-21 11:28:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110551911526805504
2023-09-21 09:02:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110490366591549440
2023-09-21 04:37:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7110267292327821312
2023-09-21 04:36:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7110277910279651331
2023-09-20 04:19:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109940977183703042
2023-09-20 04:18:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109915454017613826
2023-09-19 14:11:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109811082231226368
2023-09-19 07:58:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109787898303971328
2023-09-19 07:57:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109777443611131904
2023-09-19 07:57:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109781870095069184
2023-09-19 07:57:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109783811344744448
2023-09-19 07:57:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109546235379777537
2023-09-19 07:57:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109795857968877568
2023-09-19 07:56:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109562054935527425
2023-09-18 12:49:56,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3732032-7109472784996536320
2023-09-18 12:45:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109397130141667328
2023-09-18 12:40:28,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109475730857598976
2023-09-18 06:13:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109173598099009536
2023-09-18 06:13:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109190655171584001
2023-09-18 06:13:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109194758903754752
2023-09-18 06:08:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109173572325023744
2023-09-17 12:54:47,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109002985216622592
2023-09-17 12:44:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109040977423581185
2023-09-17 05:05:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109001319008354304
2023-09-17 05:04:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7109034587955093504
2023-09-16 17:43:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108016760255053824
2023-09-16 17:42:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108707171000856576
2023-09-16 17:32:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108825260111650816
2023-09-16 07:02:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108438142373814272
2023-09-16 07:01:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108670025787408384
2023-09-16 07:01:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108470942342807553
2023-09-16 07:01:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108456183425855489
2023-09-16 07:01:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108458633079775232
2023-09-15 12:49:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108314397357355008
2023-09-15 12:47:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108338073154797568
2023-09-15 12:47:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108327797202284544
2023-09-15 12:45:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108386994652626944
2023-09-15 05:03:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108167629256728577
2023-09-14 17:22:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108080306645024768
2023-09-14 17:22:06,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108109639736565763
2023-09-14 17:20:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7108105910224347136
2023-09-14 06:10:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107959687978885120
